"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0000775","chromosome, centromeric region","16/401","258/19886",7.52065048912387e-05,0.00461982815760466,0.00413918508123209,"STAG1/ZWINT/DYNLL1/H2BC11/PLK1/PINX1/KIF18A/FBXO28/H4C5/TOP2A/EZH2/CHMP2B/PPP2CA/AURKA/BIRC5/CENPU",16
"CC","GO:0017053","transcription repressor complex","8/401","77/19886",0.000159294417590897,0.00856207494551072,0.00767128379450899,"RELB/MXD1/AKIRIN2/LIN52/ARID4A/GPS2/ELANE/H1-0",8
"CC","GO:0031965","nuclear membrane","17/401","311/19886",0.000209044513510197,0.00953842499974541,0.00854605520173029,"IFI27/AEN/RRP12/DTL/DNAJC2/TRA2B/EPC1/ZMPSTE24/MAD2L1BP/ALG14/STX1A/ANKRD17/MX1/KPNA2/DNAJB2/RBM15/NUDT9",17
"CC","GO:0005874","microtubule","22/401","467/19886",0.000221823837203382,0.00953842499974541,0.00854605520173029,"RASSF1/NUSAP1/DYNC2H1/HSPH1/HAUS2/DYNLL1/INO80/WHAMM/PLK1/CCDC66/KIF18A/DNAL1/MX1/RGS14/KIF11/KATNA1/WDR47/GABARAPL1/CHMP2B/AURKA/BIRC5/SYNJ1",22
"CC","GO:0072686","mitotic spindle","12/401","184/19886",0.000371751199359087,0.0141153100375808,0.0126467649296318,"STAG1/FLCN/NUSAP1/HAUS2/DYNLL1/PLK1/KIF18A/TRAT1/DLGAP5/KIF11/KATNA1/AURKA",12
"CC","GO:0000786","nucleosome","10/401","134/19886",0.000393915628955743,0.0141153100375808,0.0126467649296318,"H2AC6/H1-2/H2AC25/EPC1/H2BC21/H2BC11/ING3/H2BC5/H4C5/H1-0",10
"CC","GO:0098687","chromosomal region","19/401","399/19886",0.000515191027773238,0.0170409339955763,0.0152680094060733,"STAG1/ZWINT/DYNLL1/H2BC11/PLK1/PINX1/KIF18A/FBXO28/H4C5/ERCC4/GAR1/TOP2A/EZH2/CHMP2B/PPP2CA/AURKA/BIRC5/CENPU/TERF2IP",19
"CC","GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain","3/401","10/19886",0.000878885431347695,0.0246795891326891,0.0221119452204754,"RNASEK/ATP6V0B/ATP6V0A1",3
"CC","GO:1990877","FNIP-folliculin RagC/D GAP","3/401","10/19886",0.000878885431347695,0.0246795891326891,0.0221119452204754,"FLCN/LAMTOR3/RRAGC",3
"CC","GO:0000922","spindle pole","11/401","176/19886",0.000918310293309363,0.0246795891326891,0.0221119452204754,"RASSF1/STAG1/SBDS/PLK1/LATS1/DLGAP5/RGS14/KIF11/KATNA1/PPP2CA/AURKA",11
"CC","GO:1902773","GTPase activator complex","3/401","11/19886",0.00119045029445404,0.0296698869820144,0.0265830566350484,"FLCN/LAMTOR3/RRAGC",3
"CC","GO:0015030","Cajal body","7/401","81/19886",0.00124199526901456,0.0296698869820144,0.0265830566350484,"PRPF3/NOP58/LSG1/GAR1/EAF1/HINFP/ZNF473",7
